연번,Element ID,"항목명
(영문)","항목명
(국문)","필수
여부",OID,항목검증룰,"관계
Element ID",최대길이,"데이터 
유형",허용치,nullFlavor,비고,항목검증룰(변경내역),Question,CRSCUBE ANSWER
1,N.1.1,Types of Message in batch,배치의 ICSR 유형,필수,2.16.840.1.113883.3.989.2.1.1.1,"1. 필수값으로 항목값 여부 검증
2. 입력값이 2자리 이하인지 검증
3. 입력값은 숫자 ""1""만 허용",,2,N,1=ichicsr,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 2자리 이하인지 검증
4. 입력값은 숫자 ""1""만 허용","1. batch는 여러 개의 ICSR를 포함한 1개의 XML 파일로 알고 있습니다. Batch를 사용하지 않고 xml 파일 1개 당 ICSR를 1개씩 보고하는 경우, N 항목이 필요 없는지 문의 드립니다. 
2. 화면 보고에서는 N 항목이 필요 없는지 문의 드립니다.","- N항목까지가 표준 XML입니다. 즉 case가 1개여도 동일 구조로 해야 합니다.
- 화면 보고는 화면의 내용만 입력하면 됩니다."
2,N.1.2,Batch Number,배치 번호,필수,2.16.840.1.113883.3.989.2.1.3.22,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
3,N.1.3,Batch Sender Identifier,배치 보고자 ID,필수,2.16.840.1.113883.3.989.2.1.3.13,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 부여한 sender ID와 비교 검증
   - CT-O-0000000000 / CT-T-0000000000
   - CU-O-0000000000 / CU-T-0000000000
   - KR-O-0000000000 / KR-T-0000000000
   - FR-O-0000000000 / FR-T-0000000000",- 이부분은 변경되었으므로 수정이 필요할 것 같습니다.(1개의 Sender ID로 변경됨),-https://nedrug.mfds.go.kr/CCCBB06F010 에서 새로운 1개의 Sender ID 받는 화면으로 변경되었고 그 외 연계 ID도 추가되었습니다.
4,N.1.4,Batch Receiver Identifier,배치 수신자 ID,필수,2.16.840.1.113883.3.989.2.1.3.14,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증
3. 허용된 입력값 검증",,60,AN,자유기재,,"분야별 4개 분리
 - 임상시험 :  MFDS-O-CT (테스트환경 - MFDS-T-CT)
 - 치료목적 :  MFDS-O-CU (테스트환경 - MFDS-T-CU)
 - 시판후국내 :  MFDS-O-KR (테스트환경 - MFDS-T-KR)
 - 시판후국외 :  MFDS-O-FR (테스트환경 - MFDS-T-FR)","1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 ""MFDS""만 허용",- sender ID 분류가 삭제됨에 따라 새로 Receiver ID 분류가 생성된 것인가요?,-네 맞습니다.
5,N.1.5,Date of Batch Transmission,배치 전송 날짜,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가 ",,-,Date/Time,CCYYMMDDhhmmss[+/-ZZzz],,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가 ",,
6,N.2.r.1,Message Identifier,ICSR 식별자,필수,2.16.840.1.113883.3.989.2.1.3.1,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
7,N.2.r.2,Message Sender Identifier,ICSR 보고자 ID,필수,2.16.840.1.113883.3.989.2.1.3.11,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증",,60,AN,자유기재,,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 부여한 sender ID와 비교 검증
   - CT-O-0000000000 / CT-T-0000000000
   - CU-O-0000000000 / CU-T-0000000000
   - KR-O-0000000000 / KR-T-0000000000
   - FR-O-0000000000 / FR-T-0000000000

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함",,
8,N.2.r.3,Message Receiver Identifier,ICSR 수신자 ID,필수,2.16.840.1.113883.3.989.2.1.3.12,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증
3. 입력값은 ""MFDS""만 허용",,60,AN,자유기재,,"분야별 4개 분리
 - 임상시험 :  MFDS-O-CT (테스트환경 - MFDS-T-CT)
 - 치료목적 :  MFDS-O-CU (테스트환경 - MFDS-T-CU)
 - 시판후국내 :  MFDS-O-KR (테스트환경 - MFDS-T-KR)
 - 시판후국외 :  MFDS-O-FR (테스트환경 - MFDS-T-FR)","1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 60자 이하인지 검증
4. 입력값은 ""MFDS""만 허용",,
9,N.2.r.4,Date of Message Creation,ICSR 작성일,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가",C.1.2,-,Date/Time,CCYYMMDDhhmmss[+/-ZZzz],,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 날짜 형식인지 검증
3. 초단위까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. C.1.2와 동일한지 검증",,
10,C.1.1,Sender’s (case) Safety Report Unique Identifier,보고자관리번호,필수,2.16.840.1.113883.3.989.2.1.3.1,"1. 필수값으로 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,100,AN,"자유기재
(국가코드-회사명-보고서번호)",,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 100자 이하인지 검증",,
